Player Name,Credits,Player Type,Team,Innings,Runs,Balls Faced,Fours,Sixes,Batting Average,Strike Rate,Boundary_Percentage,Innings_X,Balls Bowled,Runs_Conceded,Wickets,Bowling  Average,Economy Rate,Bowling  Strike_rate,Dream11_Avg,AVERAGE_POINTS,Dream_11_2024_avg,Weighted_Score,RECENT_FORM
Nehal Wadhera,7.5,Batter,Punjab Kings,16,350,250,32,18,23.33,140,67.42857143,1,12,13,0,0,6.5,0,41.3125,47.22222,44,43.7357632,51.60417
Harpreet Brar,6.5,Bowler,Punjab Kings,24,233,190,19,9,21.18,122.6315789,55.79399142,39,679,895,25,35.8,7.91,27.16,29.82051,51.5,36,37.9006397,58.75
Vishnu Vinod,6.5,Wicketkeeper/Batter,Punjab Kings,6,56,57,3,3,9.33,98.24561404,53.57142857,0,0,0,0,0,0,0,26.83333,0,0,26.83333,0
Vyshak Vijaykumar,7,Bowler,Punjab Kings,4,14,12,0,1,7,116.6666667,42.85714286,11,231,395,13,30.38,10.26,17.77,39.63636,11,38,30.3990892,11
Yash Thakur,6.5,Bowler,Punjab Kings,0,0,0,0,0,0,0,0,19,404,691,24,28.79,10.26,16.83,40.42105,19.5,30,31.6428935,25.66667
Marco Jansen,8,All-rounder,Punjab Kings,13,66,66,5,2,9.43,100,48.48484848,21,450,715,20,35.75,9.53,22.5,35.14286,67,51,48.5071442,67.54167
Josh Inglis,7.5,Batter/Wicketkeeper,Punjab Kings,28,706,450,67,28,30.7,156.8888889,61.75637394,0,0,0,0,0,0,0,43.46429,36.6,42,41.0142163,37.23333
Lockie Ferguson,7.5,Bowler,Punjab Kings,10,68,46,6,2,22.67,147.826087,52.94117647,45,955,1426,46,31,8.96,20.76,35.02222,49.75,42,41.1229434,44.16667
Azmatullah Omarzai,7.5,All-rounder,Punjab Kings,4,42,33,2,2,10,127.2727273,47.61904762,7,126,186,4,46.5,8.86,31.5,27.14286,40.5,36,33.2321442,40.5
Harnoor Singh Pannu,5,Batter,Punjab Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuldeep Sen,6,Bowler,Punjab Kings,1,0,3,0,0,0,0,0,12,241,387,14,27.64,9.63,17.21,37.33333,0,39,35.9666645,0
Priyansh Arya,6.5,Batter,Punjab Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6,30,54,58
Aaron Hardie,7,All-rounder,Punjab Kings,8,128,99,15,3,21.33,129.2929293,60.9375,0,0,0,0,0,0,0,35.125,0,0,35.125,0
Suryansh Shedge,5.5,All-rounder,Punjab Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,2.86,4.75
Musheer Khan,6,All-rounder,Punjab Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Bartlett,6.5,Bowler,Punjab Kings,2,5,10,0,0,2.5,50,0,7,142,162,11,14.73,6.85,12.91,61.71429,45,0,43,43.6
Pyla Avinash,5.5,Batter,Punjab Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pravin Dubey,6,Bowler,Punjab Kings,2,23,33,1,2,23,69.6969697,69.56521739,4,66,91,1,91,8.27,66,17.75,0,0,17.75,0
Sanju Samson,9,Batter/Wicketkeeper,Rajasthan Royals,163,4419,3180,352,206,30.69,138.9622642,59.8325413,0,0,0,0,0,0,0,43.79141,67.28571,56,53.7605328,62.07143
Yashasvi Jaiswal,9,Batter,Rajasthan Royals,52,1607,1067,198,64,32.14,150.6091846,73.17983821,1,1,6,0,0,0,0,54.96154,92.5,54,66.3869238,95.08333
Riyan Parag,8,All-rounder,Rajasthan Royals,58,1173,868,84,60,24.44,135.1382488,59.33503836,21,175,307,4,76.75,10.53,43.75,34.43103,63.6,47,46.2385841,65.125
Dhruv Jurel,7.5,Batter/Wicketkeeper,Rajasthan Royals,22,347,229,29,16,23,151.5283843,61.09510086,0,0,0,0,0,0,0,28.81818,52.1,41,38.7155446,46
Shimron Hetmyer,7.5,Batter,Rajasthan Royals,66,1243,812,76,82,31.08,153.0788177,64.03861625,0,0,0,0,0,0,0,32.0303,45.3,34,36.577241,45.95833
Sandeep Sharma,7.5,Bowler,Rajasthan Royals,27,54,70,4,0,9,77.14285714,29.62962963,126,2822,3709,137,27.07,7.89,20.6,35.34921,34.9,35,35.1331287,35.04167
Jofra Archer,8,Bowler,Rajasthan Royals,25,199,128,12,11,15.31,155.46875,57.28643216,40,945,1171,48,24.4,7.43,19.69,46.225,49.7,42,46.37275,54.66667
Maheesh Theekshana,7.5,Bowler,Rajasthan Royals,2,7,7,1,0,7,100,57.14285714,27,624,797,25,31.88,7.66,24.96,30.03704,38,32,32.9374088,34.20833
Wanindu Hasaranga,8.5,All-rounder,Rajasthan Royals,14,72,73,7,1,7.2,98.63013699,47.22222222,26,552,748,35,21.37,8.13,15.77,47.15385,49.25,43,46.8898095,46
Akash Madhwal,7,Bowler,Rajasthan Royals,1,4,5,1,0,4,80,100,13,262,424,19,22.32,9.71,13.79,53.15385,0,39,46.2500025,39
Kumar Kartikeya,6,Bowler,Rajasthan Royals,2,9,12,1,0,4.5,75,44.44444444,2,234,329,10,32.9,8.44,23.4,166.5,27.33333,30,93.3283323,27.75
Nitish Rana,7.5,All-rounder,Rajasthan Royals,101,2636,1952,234,132,28.34,135.0409836,65.5538695,24,180,252,10,25.2,8.4,18,46.37624,48.4,40,45.6008328,48
Tushar Deshpande,7.5,Bowler,Rajasthan Royals,4,21,14,3,2,21,150,114.2857143,36,773,1243,42,29.6,9.65,18.4,38.58333,31.85714,46,38.1298785,27.25
Shubham Dubey,5.5,Batter,Rajasthan Royals,3,33,19,1,3,16.5,173.6842105,66.66666667,0,0,0,0,0,0,0,51.66667,23.83333,33,38.9316672,15.375
Yudhvir Singh Charak,6.5,All-rounder,Rajasthan Royals,4,22,16,0,1,5.5,137.5,27.27272727,5,72,122,4,30.5,10.17,18,31.2,6,0,16.08,7
FazalHaq Farooqi,7,Bowler,Rajasthan Royals,2,3,13,2,0,0,23.07692308,266.6666667,7,152,227,6,37.83,8.96,25.33,29,6.666667,32,22.73666677,10
Vaibhav Suryavanshi,5,Batter,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,42,48
Kwena Maphaka,6,Bowler,Rajasthan Royals,0,0,0,0,0,0,0,0,2,36,89,1,89,14.83,36,16,0,22,17,0
Ashok Sharma,5,Bowler,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kunal Singh Rathore,5,Batter/Wicketkeeper,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virat Kohli,9,Batter,Royal Challengers Bengaluru,244,8004,6065,705,272,38.67,131.9703215,55.62218891,26,251,368,4,92,8.8,62.75,51.88115,82.6,76,66.7101405,78.79167
Rajat Patidar,8,Batter,Royal Challengers Bengaluru,24,799,503,51,54,34.74,158.8469185,66.08260325,0,0,0,0,0,0,0,58.41667,46.5,47,52.2108349,46.04167
Yash Dayal,7,Bowler,Royal Challengers Bengaluru,1,0,1,0,0,0,0,0,28,577,920,28,32.86,9.57,20.61,32,36.7,42,35.657,34.58333
Liam Livingstone,8,All-rounder,Royal Challengers Bengaluru,39,939,578,66,66,28.45,162.4567474,70.28753994,22,258,393,11,35.73,9.14,23.45,50.66667,38.71429,42,45.0547648,33.11905
Philip Salt,8.5,Wicketkeeper/Batter,Royal Challengers Bengaluru,21,653,372,74,34,34.37,175.5376344,76.56967841,0,0,0,0,0,0,0,59.66667,61.33333,54,58.9366672,45
Jitesh Sharma,7.5,Batter/Wicketkeeper,Royal Challengers Bengaluru,36,730,483,53,45,22.81,151.1387164,66.02739726,0,0,0,0,0,0,0,35.75,40.6,34,36.8685,41.66667
Josh Hazlewood,8.5,Bowler,Royal Challengers Bengaluru,6,19,28,6,1,0,67.85714286,157.8947368,27,603,810,35,23.14,8.06,17.23,43.2963,73.2,50,54.041261,67.41667
Rasikh Salam,6.5,Bowler,Royal Challengers Bengaluru,6,40,40,1,5,8,100,85,11,195,339,9,37.67,10.43,21.67,32.90909,23.5,42,31.9922723,11.16667
Suyash Sharma,6,Bowler,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,13,258,372,10,37.2,8.65,0,30.38462,29.66667,30,30.0774391,30.60417
Krunal Pandya,7.5,All-rounder,Royal Challengers Bengaluru,111,1647,1240,144,61,21.96,132.8225806,57.19489982,117,2122,2606,76,34.29,7.37,27.92,42.91453,64.8,40,49.0578291,54.58333
Bhuvneshwar Kumar,8,Bowler,Royal Challengers Bengaluru,68,306,326,30,3,8.74,93.86503067,45.09803922,176,3910,4929,181,27.23,7.56,21.6,35.43182,57.88889,40,43.3985113,47
Swapnil Singh,7,All-rounder,Royal Challengers Bengaluru,9,51,45,3,3,10.2,113.3333333,58.82352941,14,162,241,7,34.43,8.93,23.14,21.78571,0,32,23.7607115,0
Tim David,7.5,Batter,Royal Challengers Bengaluru,35,659,387,38,46,28.65,170.2842377,64.94688923,0,0,0,0,0,0,0,33.91429,48,38,39.1797163,43
Romario Shepherd,7,All-rounder,Royal Challengers Bengaluru,9,115,63,4,7,23,182.5396825,50.43478261,8,126,257,4,64.25,12.24,31.5,36.22222,19.33333,0,26.088886,28.77778
Nuwan Thushara,7.5,Bowler,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,7,156,257,8,32.13,9.88,19.5,36.57143,0,25,31.2714295,0
Manoj Bhandage,6.5,All-rounder,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16.25,0
Jacob Bethell,7,Batter,Royal Challengers Bengaluru,9,196,133,14,11,32.67,147.3684211,62.24489796,1,18,28,0,0,9.33,0,43.66667,62.5,32,46.9383349,64
Devdutt Padikkal,7,Batter,Royal Challengers Bengaluru,64,1559,1266,169,42,25.15,123.1437599,59.52533675,0,0,0,0,0,0,0,40.03125,53.66667,23.4,40.5993552,53
Swastik Chikara,5.5,Batter,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohit Rathee,6,All-rounder,Royal Challengers Bengaluru,1,1,2,0,0,0,50,0,1,12,29,0,0,14.5,0,76,0,0,0,0
Abhinandan Singh,5,Bowler,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lungi Ngidi,7.5,Bowler,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,14,324,448,25,17.92,8.3,12.96,62.5,0,30,47,0
Heinrich Klaasen,9,Batter/Wicketkeeper,Sunrisers Hyderabad,32,993,590,56,64,38.19,168.3050847,61.2286002,0,0,0,0,0,0,0,55.5,68.1,52,58.636,70.91667
Pat Cummins,8.5,Bowler,Sunrisers Hyderabad,41,515,344,33,34,19.81,149.7093023,65.24271845,58,1319,1923,63,30.52,8.75,20.94,49.43103,57.4,50,52.0265841,56.66667
Abhishek Sharma,8.5,All-rounder,Sunrisers Hyderabad,61,1376,887,128,73,25.48,155.1296505,69.04069767,26,270,389,11,35.36,8.64,24.55,43.90164,72,51,54.1737708,69.875
Travis Head,9,Batter,Sunrisers Hyderabad,25,772,444,76,40,36.76,173.8738739,70.46632124,6,58,113,2,56.5,11.69,29,59.2,63.2,55,59.516,58.375
K Nitish Reddy,8,All-rounder,Sunrisers Hyderabad,11,303,212,15,21,33.67,142.9245283,61.38613861,9,109,207,3,69,11.39,36.33,53.18182,35.3,46,46.0584554,30.04167
Mohammed Shami,8.5,Bowler,Sunrisers Hyderabad,25,74,79,6,2,5.69,93.67088608,48.64864865,110,2426,3411,127,26.86,8.44,19.1,37.94545,29.44444,42,36.2021379,29.08333
Harshal Patel,8,Bowler,Sunrisers Hyderabad,42,249,203,16,15,9.22,122.6600985,61.84738956,103,2161,3149,135,23.33,8.74,16.01,45.85437,60,54,52.0315539,46
Ishan Kishan,8,Wicketkeeper/Batter,Sunrisers Hyderabad,99,2644,1946,255,119,28.43,135.8684481,65.58245083,0,0,0,0,0,0,0,44.9798,39.5,47,43.725506,25.95833
Rahul Chahar,6.5,Bowler,Sunrisers Hyderabad,24,129,124,13,5,8.06,104.0322581,63.56589147,77,1664,2141,75,28.55,7.72,22.19,33.90909,0,36,32.8409085,0
Adam Zampa,7.5,Bowler,Sunrisers Hyderabad,5,15,24,1,0,3,62.5,26.66666667,20,419,558,29,19.24,7.99,14.45,51.1,30,40,42.117,29
Abhinav Manohar,6.5,Batter,Sunrisers Hyderabad,15,231,174,21,10,16.5,132.7586207,62.33766234,0,0,0,0,0,0,0,30,28.5,30,29.535,46.36111
Wiaan Mulder,7,All-rounder,Sunrisers Hyderabad,8,105,90,8,3,17.5,116.6666667,47.61904762,10,120,195,8,24.38,9.75,15,41.1,26,0,32.04,26
Atharva Taide,6.5,Batter,Sunrisers Hyderabad,9,247,168,27,8,27.44,147.0238095,63.15789474,1,1,4,0,0,0,0,53.11111,40,42,46.6022217,40
Simarjeet- Singh,6,Bowler,Sunrisers Hyderabad,3,7,8,0,0,7,87.5,0,10,180,259,9,28.78,8.63,20,29.5,18.75,36,27.5975,11.3
Zeeshan Ansari,5.5,Bowler,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.625,0,21.85625,32
Jaydev Unadkat,7,Bowler,Sunrisers Hyderabad,32,197,166,16,7,12.31,118.6746988,53.8071066,104,2131,3189,99,32.21,8.98,21.53,33.375,48,33,37.82625,31.83333
Kamindu Mendis,7,Batter,Sunrisers Hyderabad,21,381,311,39,13,19.5,122.5080386,61.41732283,9,108,148,2,74,8.22,54,32.33333,49.75,32,37.6591651,38
Aniket Verma,5,Batter,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,30,38.775,44
Eshan Malinga,6,Bowler,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,31.85,34
Sachin Baby,6.5,Batter,Sunrisers Hyderabad,11,144,118,11,5,16,122.0338983,51.38888889,2,10,8,2,4,4.8,5,32.45455,0,23,27.9954575,0
